Year,Name,Link,Use,Downloaded?,Location,Notes
1879,Sarum Breviary,https://archive.org/details/breviariu02cath,,,,Publishing Year
1879,Sarum Breviary,https://archive.org/details/breviariu03cath,,,,Publishing Year
1879,English Breviary,https://archive.org/details/romanbre01cath,,,,
1879,English Breviary,https://archive.org/details/romanbrev02cath,,,,
1879,English Breviary,https://archive.org/details/romanbreviaryre00unkngoog,,,,
1880,English Sarum,https://archive.org/details/breviaryofficesf00cath,,,,
1880,Yorkish Breviary,https://archive.org/details/breviariumadusu00yorkgoog,,,,Publishing Year
1880,Yorkish Breviary,https://archive.org/details/breviariumadusu01yorkgoog,,,,Publishing Year
1880,Yorkish Breviary,https://archive.org/details/breviariumadusu02yorkgoog,,,,Publishing Year
1880,Yorkish Breviary,https://archive.org/details/breviariumadusu03yorkgoog,,,,Publishing Year
1880,Yorkish Breviary,https://archive.org/details/publicationssur05unkngoog,,,,Publishing Year
1883,Breviarum Romano-Seraphicum,https://books.google.com/books?id=Iso9lpwRFa0C,Roman,,,
1884,Office of Blessed Sacrament,https://archive.org/details/officeofblesseds00unse/,,,,"English, Votive Office"
1886,Carmelite,https://books.google.com/books?id=iNw-AAAAYAAJ,,,,
1886,Carmelite,https://books.google.com/books?id=M9w-AAAAYAAJ,,,,
1886,Carmelite,https://books.google.com/books?id=68w-AAAAYAAJ,,,,
1886,Carmelite,https://books.google.com/books?id=jc4-AAAAYAAJ,,,,
1886,Carmelite,https://catalog.hathitrust.org/Record/100526832,,,,
1886,Sarum Breviary,https://books.google.com/books?id=2EgSdEQBGJUC,,,,
1888,Breviary,https://archive.org/details/p1breviariumroma00cathuoft,,,,
1888,Breviary,https://archive.org/details/p2breviariumroma00cathuoft,,,,
1888,Breviary,https://archive.org/details/p3breviariumroma00cathuoft,,,,
1888,Breviary,https://archive.org/details/p4breviariumroma00cathuoft,,,,
1894,Roman Breviary,https://archive.org/details/breviarium_romanum_pars_hiemalis_1894,Roman,,,
1894,Dominican Breviary,https://books.google.com/books?id=a-BDAQAAMAAJ,SOP,yes,Desktop,
1894,Dominican Breviary,https://archive.org/details/BreviariumIuxtaRitum,SOP,yes,Desktop,
1900,Antiphonale officii monastici,https://archive.org/details/antiphonaleoffic00cath,,,,Manuscript
1900,Breviary,https://books.google.com/books?id=Kb0ZAAAAYAAJ,,,,
1900,Breviary,https://babel.hathitrust.org/cgi/pt?id=hvd.hn1xpz,,,,
1906,Roman Breviary,https://archive.org/details/breviariumromanu01cath_0,Roman,yes,both,
1906,Roman Breviary,https://archive.org/details/breviariumromanu02cath_0,Roman,yes,both,
1906,Roman Breviary,https://archive.org/details/breviariumromanu03cath_0,Roman,yes,both,
1906,Roman Breviary,https://archive.org/details/breviariumromanu04cath_0,Roman,yes,both,
1908,English Breviary,https://archive.org/details/romanbreviaryref01cathuoft,,yes,both,
1908,English Breviary,https://archive.org/details/romanbreviaryref02cathuoft,,yes,both,
1908,English Breviary,https://archive.org/details/romanbreviaryref03cathuoft,,yes,both,
1908,English Breviary,https://archive.org/details/romanbreviaryref04cathuoft,,yes,both,
1908,English Breviary,https://archive.org/details/TheRomanBreviaryV1,,yes,both,
1908,English Breviary,https://archive.org/details/TheRomanBreviaryV2,,yes,both,
1908,English Breviary,https://archive.org/details/TheRomanBreviaryV3,,yes,both,
1908,English Breviary,https://archive.org/details/TheRomanBreviaryV4,,yes,both,
1909,Dominican Breviary,https://archive.org/details/BrevariumIuxtaRitumSacriOrdinisPraedicatorum/black-and-white%20version/Breviarium_Cormier_1909_prior_cropped%20%285.18x6.5%29%20pg%201-1577%20%28vol.%201%29,SOP,yes,both,Color link in description
1909,Dominican Breviary,https://archive.org/details/BrevariumIuxtaRitumSacriOrdinisPraedicatorum/black-and-white%20version/Breviarium_Cormier_1909_posterior_cropped%20%285.18x6.5%29%20pg%201-1374%20%28vol.%202%29/,SOP,yes,both,Color link in description
